# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9121419127289037,4.425522231928914,-1.3037988878305429,0,3.0,0.3852699862754931,0.0,0.0,-0.09914684823156476
 0.07164860521118188,1.9198402030906652,4.425347022597588,-1.3037988878305429,0.21494581563354564,3.0,0.3852699862754931,-0.0071037333868763505,5.638444789711998,-0.6908815688793373
 0.10249336842196716,1.9278956884206853,4.425188146478778,-1.1298823934147904,0.30748010526590147,3.0,0.33494064519030387,-0.028413811785655347,6.465452134517768,-1.4530937435915812
 0.12693298799839298,1.9363051178018011,4.4250454893856785,-0.9718692028575858,0.38079896399517893,3.0,0.29314778351718795,-0.06392687008791803,6.792258434487254,-2.3413679815477813
 0.14816434961003533,1.9450652403168476,4.424918937131491,-0.8276603078752591,0.44449304883010593,2.9999999999999973,0.25814795788277345,-0.11363730037008013,6.867864830447017,-3.3208860829290234
 0.16740618772587287,1.9541728050486613,4.424808375529411,-0.6955099646063436,0.5022185631776186,3.0000000000000013,0.22860890248192903,-0.17753725277893825,6.80318544649324,-4.369924695977056
 0.18527363154342885,1.9636245610800778,4.424713690392636,-0.5739544308607112,0.5558208946302865,2.9999999999999987,0.20350060939090533,-0.2556166367712587,6.657576009970879,-5.473739262607967
 0.2021261854394596,1.9734172574939335,4.424634767534363,-0.46175727233575564,0.6063785563183788,3.000000000000003,0.1820181853308007,-0.347863122707179,6.4656548542069965,-6.621782392491026
 0.2181942189059019,1.983547643373064,4.424571492767792,-0.3578669137558924,0.6545826567177058,3.0000000000000036,0.16352642247307744,-0.45426214379722324,6.248596450833091,-7.806231881745845
 0.23363505597444661,1.9940124678003057,4.424523751906118,-0.26138335405149193,0.7009051679233399,3.0,0.14751944207256976,-0.57479689840254,6.019707176275091,-9.021129386546795
 0.24856128621856113,2.0048084798584944,4.424491430762539,-0.17153181873626144,0.7456838586556834,2.9999999999999982,0.13359094963600174,-0.709448352688085,5.787460658712967,-10.261840167438525
 0.26305643411729923,2.0159324286304656,4.424474415150253,-0.08764172053008877,0.7891693023518976,2.9999999999999942,0.12141206520682829,-0.8581952436283178,5.557262172378585,-11.524696657407315
 0.2771842540136994,2.027381063199056,4.424472590882457,-0.009129721441646615,0.8315527620410981,2.999999999999996,0.11071462163943971,-1.0210140823648133,5.332523179656807,-12.806754112904267
 0.29099455082985004,2.0391511326471012,4.4244858437723495,0.06451400644841732,0.8729836524895501,3.000000000000008,0.10127846155661607,-1.1978791579154793,5.115338749446477,-14.105617979185494
 0.3045269875937551,2.051239386057437,4.424514059633128,0.1337370046012551,0.9135809627812653,2.999999999999996,0.09292168481279821,-1.3887625412346096,4.906925960391578,-15.419318917798634
 0.3178136670820482,2.0636425725129,4.424557124277989,0.1989337571097628,0.9534410012461446,3.0,0.08549309899658455,-1.5936340896231744,4.707913448979716,-16.746220498628382
 0.33088093571639515,2.0763574410963255,4.424614923520131,0.2604533268548355,0.9926428071491854,3.0,0.07886632642756575,-1.8124614514887587,4.518535653411137,-18.08494985259202
 0.3437506766812594,2.0893807408905496,4.424687343172751,0.3186057102547405,1.0312520300437782,3.0,0.07293517047944362,-2.045210071454178,4.338764711749757,-19.434344811299773
 0.35644125754492023,2.102709220978409,4.424774269049047,0.3736671546775988,1.0693237726347606,3.0,0.06760994658242175,-2.291843195814245,4.168400807542214,-20.79341310222057
 0.3689682381442473,2.116339630442739,4.424875586962217,0.42588463072389937,1.1069047144327417,2.9999999999999956,0.06281455606399579,-2.552321878339555,4.0071344187111,-22.16130049869703
 0.3813449083718423,2.1302687183663753,4.424991182725457,0.47547961198193234,1.144034725115527,3.000000000000009,0.05848413974833756,-2.8266049864265654,3.854589336033582,-23.53726571372654
 0.3935827028833083,2.1444932338321543,4.425120942151965,0.5226512842023995,1.180748108649925,3.0,0.05456318323762969,-3.114649207592925,3.7103523867571524,-24.92066043451195
 0.4056915251802561,2.159009925922912,4.425264751054939,0.5675792819126979,1.2170745755407684,3.0000000000000093,0.051003979255344396,-3.4164090563170073,3.573993883172285,-26.310913318559006
 0.4176800039185091,2.173815543721484,4.425422495247577,0.6104260315917552,1.2530400117555274,2.9999999999999907,0.047765373554563194,-3.7318368812205707,3.4450815880461585,-27.707517072528947
 0.42955569781455943,2.1889068363107076,4.4255940605430775,0.6513387659783103,1.2886670934436784,3.000000000000005,0.04481173508262972,-4.060882872593512,3.323190091808449,-29.1100179512533
 0.44132526107074144,2.204280552773417,4.425779332754635,0.6904512619761671,1.3239757832122243,2.999999999999995,0.042112108346741096,-4.403495070259382,3.2079069754216385,-30.51800717208748
 0.4529945781238815,2.2199334421924486,4.425978197695448,0.7278853455493418,1.3589837343716444,2.999999999999995,0.03963951102415054,-4.759619371780473,3.0988366795229325,-31.931113856321975
 0.4645688743067128,2.235862253650639,4.426190541178715,0.7637521991003616,1.3937066229201382,2.999999999999995,0.03737034929227745,-5.129199541001252,2.9956027815567308,-33.34899919632094
 0.4760528074128578,2.252063736230825,4.426416249017635,0.7981535010563412,1.4281584222385733,2.9999999999999902,0.03528393129482386,-5.512177216928686,2.897849137929687,-34.77135161273749
 0.48745054398730503,2.26853463901584,4.4266552070254015,0.8311824221629527,1.4623516319619148,2.9999999999999902,0.03336205638857279,-5.908491922948148,2.805240253830547,-36.19788271609353
